x1_PDPW112,y1_PDPW112,x2_PDPW112,y2_PDPW112,x1_PDQE107,y1_PDQE107,x2_PDQE107,y2_PDQE107,x1_PDPY101,y1_PDPY101,x2_PDPY101,y2_PDPY101,x1_PDQE108,y1_PDQE108,x2_PDQE108,y2_PDQE108,x1_PDQE115,y1_PDQE115,x2_PDQE115,y2_PDQE115,x1_PDQE112,y1_PDQE112,x2_PDQE112,y2_PDQE112,x1_PDQE113,y1_PDQE113,x2_PDQE113,y2_PDQE113,x1_PDPW107,y1_PDPW107,x2_PDPW107,y2_PDPW107,x1_PDPW106,y1_PDPW106,x2_PDPW106,y2_PDPW106,x1_PDPW111,y1_PDPW111,x2_PDPW111,y2_PDPW111,x1_PDPW110,y1_PDPW110,x2_PDPW110,y2_PDPW110,x1_PDQE104,y1_PDQE104,x2_PDQE104,y2_PDQE104,x1_PDQE105,y1_PDQE105,x2_PDQE105,y2_PDQE105,x1_PDQE102,y1_PDQE102,x2_PDQE102,y2_PDQE102,x1_PDPW102,y1_PDPW102,x2_PDPW102,y2_PDPW102
0.0033,0.8065,0.0033,-8.125,0.0033,0.5242,0.0033,,0.0033,0.0403,0.0033,,0.0033,4.0726,0.0033,1.4315,0.0033,0.625,0.0033,-2.2379,0.0033,-1.371,0.0033,0.0202,0.0033,1.6331,0.0033,-1.3508,0.0033,0.5847,0.0033,,0.0033,-1.0887,0.0033,,0.0033,1.2903,0.0033,,0.0033,,0.0033,-0.625,0.0033,0.6452,0.0033,0.7258,0.0033,-2.0363,0.0033,0.5242,0.0033,0.2419,0.0033,0.8871,0.0033,-0.2419,0.0033,-1.1492
0.0067,0.8669,0.0067,-8.125,0.0067,0.5645,0.0067,,0.0067,0.2016,0.0067,,0.0067,3.9113,0.0067,1.5121,0.0067,0.5242,0.0067,-3.1653,0.0067,-1.1694,0.0067,-0.121,0.0067,1.4718,0.0067,-1.3911,0.0067,0.5645,0.0067,,0.0067,-1.0081,0.0067,,0.0067,1.3306,0.0067,1.1694,0.0067,,0.0067,-0.7056,0.0067,0.5847,0.0067,0.6855,0.0067,-2.2782,0.0067,0.746,0.0067,0.4637,0.0067,0.746,0.0067,-0.3226,0.0067,-1.1089
0.01,0.8266,0.01,-8.1048,0.01,0.625,0.01,,0.01,0.2621,0.01,,0.01,4.0726,0.01,1.4113,0.01,0.746,0.01,-1.4516,0.01,-1.0282,0.01,-0.0403,0.01,1.3508,0.01,-1.3508,0.01,0.6048,0.01,,0.01,-1.0887,0.01,,0.01,1.2702,0.01,1.3105,0.01,,0.01,-0.4435,0.01,0.504,0.01,0.8266,0.01,-2.1371,0.01,0.746,0.01,0.5242,0.01,0.4839,0.01,-0.2218,0.01,-1.1694
0.0133,0.8468,0.0133,-7.9839,0.0133,0.5645,0.0133,,0.0133,0.1008,0.0133,,0.0133,3.7702,0.0133,1.4718,0.0133,0.5645,0.0133,-1.2903,0.0133,-1.3306,0.0133,-0.2016,0.0133,1.3911,0.0133,-1.5121,0.0133,0.9073,0.0133,,0.0133,-0.9879,0.0133,,0.0133,1.3105,0.0133,1.3609,0.0133,,0.0133,-0.4839,0.0133,0.8669,0.0133,0.4234,0.0133,-2.3387,0.0133,0.6048,0.0133,0.3024,0.0133,1.2298,0.0133,-0.4032,0.0133,-1.0081
0.0167,0.9476,0.0167,-8.2056,0.0167,0.625,0.0167,,0.0167,0.121,0.0167,,0.0167,3.9718,0.0167,1.2298,0.0167,0.4839,0.0167,-3.1855,0.0167,-1.25,0.0167,0.0403,0.0167,1.4718,0.0167,-1.371,0.0167,0.504,0.0167,,0.0167,-1.0887,0.0167,,0.0167,1.3105,0.0167,1.4113,0.0167,,0.0167,-0.5847,0.0167,0.8266,0.0167,0.8468,0.0167,-2.0565,0.0167,0.8266,0.0167,0.2016,0.0167,0.8065,0.0167,-0.2419,0.0167,-1.1492
0.02,0.8468,0.02,-8.004,0.02,0.6048,0.02,,0.02,0.1815,0.02,,0.02,3.9919,0.02,1.1895,0.02,0.504,0.02,-2.1371,0.02,-1.25,0.02,-0.0806,0.02,1.6935,0.02,-1.5524,0.02,0.625,0.02,,0.02,-1.129,0.02,,0.02,1.2702,0.02,1.3306,0.02,,0.02,-0.1411,0.02,0.6048,0.02,0.4435,0.02,-2.1169,0.02,0.6653,0.02,0.4032,0.02,0.6653,0.02,-0.2419,0.02,-1.0282
0.0233,0.6855,0.0233,-8.0242,0.0233,0.6048,0.0233,,0.0233,0.121,0.0233,,0.0233,3.3266,0.0233,1.2903,0.0233,0.7056,0.0233,-2.3387,0.0233,-1.3508,0.0233,-0.121,0.0233,1.7339,0.0233,-1.5121,0.0233,0.5645,0.0233,,0.0233,-1.0282,0.0233,,0.0233,1.1895,0.0233,1.25,0.0233,,0.0233,-0.0605,0.0233,0.9476,0.0233,0.6855,0.0233,-1.8548,0.0233,0.6048,0.0233,0.2218,0.0233,0.9073,0.0233,-0.3629,0.0233,-1.2097
0.0267,0.6452,0.0267,-7.9234,0.0267,0.4637,0.0267,,0.0267,0.4637,0.0267,,0.0267,2.9637,0.0267,1.6129,0.0267,0.3831,0.0267,-1.4516,0.0267,-1.0282,0.0267,-0.0806,0.0267,1.6734,0.0267,-1.5524,0.0267,0.5242,0.0267,,0.0267,-1.1694,0.0267,,0.0267,1.3105,0.0267,1.25,0.0267,,0.0267,-0.2823,0.0267,0.746,0.0267,0.4234,0.0267,-2.2984,0.0267,0.5847,0.0267,0.4637,0.0267,0.6855,0.0267,-0.2823,0.0267,-0.9879
0.03,0.746,0.03,-8.0242,0.03,0.4839,0.03,,0.03,0.3024,0.03,,0.03,2.4395,0.03,1.3105,0.03,0.3427,0.03,-1.3306,0.03,-1.3306,0.03,-0.121,0.03,1.5726,0.03,-1.3306,0.03,0.6653,0.03,,0.03,-1.1089,0.03,,0.03,1.3508,0.03,1.3508,0.03,,0.03,-0.5645,0.03,0.8669,0.03,0.8871,0.03,-2.1976,0.03,0.6653,0.03,0.4839,0.03,0.7863,0.03,-0.2218,0.03,-1.129
0.0333,0.9073,0.0333,-7.9637,0.0333,0.625,0.0333,,0.0333,0.121,0.0333,,0.0333,1.9758,0.0333,1.1895,0.0333,0.5645,0.0333,-2.3992,0.0333,-1.1089,0.0333,0.0202,0.0333,1.4718,0.0333,-1.5524,0.0333,0.625,0.0333,,0.0333,-1.0685,0.0333,,0.0333,1.3911,0.0333,1.2702,0.0333,,0.0333,-0.539,0.0333,0.6855,0.0333,0.6653,0.0333,-2.4194,0.0333,0.4839,0.0333,0.1613,0.0333,0.9677,0.0333,-0.3024,0.0333,-1.0887
0.0367,0.7661,0.0367,-7.8427,0.0367,0.3427,0.0367,,0.0367,0.1008,0.0367,,0.0367,1.7944,0.0367,1.2903,0.0367,0.3629,0.0367,-2.379,0.0367,-1.2298,0.0367,-0.1613,0.0367,1.4718,0.0367,-1.4516,0.0367,0.6048,0.0367,,0.0367,-1.0685,0.0367,,0.0367,1.2903,0.0367,1.3105,0.0367,,0.0367,-0.5134,0.0367,0.6048,0.0367,0.7056,0.0367,-2.2177,0.0367,0.5645,0.0367,0.5847,0.0367,1.1089,0.0367,-0.3024,0.0367,-1.1089
0.04,0.8468,0.04,-7.9637,0.04,0.504,0.04,,0.04,0.3024,0.04,,0.04,1.8145,0.04,1.129,0.04,0.4032,0.04,-3.5282,0.04,-1.6734,0.04,-0.121,0.04,1.4113,0.04,-1.2903,0.04,0.7863,0.04,,0.04,-1.0685,0.04,,0.04,1.3105,0.04,1.3105,0.04,,0.04,-0.4878,0.04,0.8468,0.04,0.5847,0.04,-2.2984,0.04,0.625,0.04,0.6855,0.04,0.6048,0.04,-0.3226,0.04,-1.0484
0.0433,0.7056,0.0433,-8.0444,0.0433,0.3831,0.0433,,0.0433,0.1411,0.0433,,0.0433,2.0766,0.0433,1.1895,0.0433,0.3226,0.0433,-1.754,0.0433,-1.371,0.0433,-0.0605,0.0433,1.6734,0.0433,-1.3508,0.0433,0.4839,0.0433,,0.0433,-1.0887,0.0433,,0.0433,1.3911,0.0433,1.129,0.0433,,0.0433,-0.4623,0.0433,0.7863,0.0433,0.3024,0.0433,-2.0968,0.0433,0.746,0.0433,0.2621,0.0433,0.5847,0.0433,-0.4032,0.0433,-0.9879
0.0467,0.8266,0.0467,-7.8427,0.0467,0.4637,0.0467,,0.0467,0.3629,0.0467,,0.0467,2.1774,0.0467,1.2702,0.0467,0.5242,0.0467,-2.5202,0.0467,-1.6935,0.0467,-0.2218,0.0467,1.6532,0.0467,-1.5121,0.0467,0.7056,0.0467,,0.0467,-1.0685,0.0467,,0.0467,1.2702,0.0467,1.2097,0.0467,,0.0467,-0.4367,0.0467,0.7863,0.0467,0.6653,0.0467,-2.1774,0.0467,0.6048,0.0467,0.3427,0.0467,0.9677,0.0467,-0.0806,0.0467,-1.0282
0.05,1.0282,0.05,-7.9637,0.05,0.5847,0.05,,0.05,0.4637,0.05,,0.05,2.2581,0.05,1.2097,0.05,0.4234,0.05,-1.5726,0.05,-1.4113,0.05,-0.1411,0.05,1.3306,0.05,-1.1895,0.05,0.5645,0.05,,0.05,-1.0484,0.05,,0.05,1.3306,0.05,1.371,0.05,,0.05,-0.4111,0.05,0.7863,0.05,0.3427,0.05,-2.4194,0.05,0.7863,0.05,0.5444,0.05,0.7258,0.05,-0.2218,0.05,-0.9073
0.0533,0.8468,0.0533,-7.9637,0.0533,0.4234,0.0533,,0.0533,0.7056,0.0533,,0.0533,2.3185,0.0533,1.2298,0.0533,0.5645,0.0533,-1.2298,0.0533,-1.1895,0.0533,0.121,0.0533,1.3508,0.0533,-1.3508,0.0533,0.625,0.0533,,0.0533,-1.0685,0.0533,,0.0533,1.2903,0.0533,1.2702,0.0533,,0.0533,-0.3856,0.0533,0.8266,0.0533,0.625,0.0533,-2.3992,0.0533,1.0685,0.0533,0.2621,0.0533,1.0282,0.0533,-0.3226,0.0533,-1.0081
0.0567,0.7661,0.0567,-8.0847,0.0567,0.6452,0.0567,,0.0567,0.8266,0.0567,,0.0567,2.4395,0.0567,1.1694,0.0567,0.5847,0.0567,-2.3387,0.0567,-1.1895,0.0567,-0.0202,0.0567,1.6532,0.0567,-1.25,0.0567,0.5645,0.0567,,0.0567,-1.0887,0.0567,,0.0567,1.4113,0.0567,1.4315,0.0567,,0.0567,-0.36,0.0567,0.8266,0.0567,0.4032,0.0567,-2.0968,0.0567,0.5645,0.0567,0.3427,0.0567,0.9073,0.0567,-0.2621,0.0567,-1.3105
