x,y
0.0167,0.1008
0.0333,0.2016
0.05,0.3024
0.0667,0.4032
0.0833,0.504
0.1,0.6048
0.1167,0.7056
0.1333,0.8065
0.15,0.9073
0.1667,0.9879
0.1833,1.0887
0.2,1.1895
0.2167,1.2903
0.2333,1.3911
0.25,1.4919
0.2667,1.5927
0.2833,1.6935
0.3,1.7944
0.3167,1.8952
0.3333,1.996
0.35,2.0968
0.3667,2.1976
0.3833,2.2984
0.4,2.3992
0.4167,2.5
0.4333,2.6008
0.45,2.7016
0.4667,2.8024
0.4833,2.9032
0.5,2.9839
0.5167,3.0847
0.5333,3.1855
0.55,3.2863
0.5667,3.3871
0.5833,3.4879
0.6,3.5887
0.6167,3.6895
0.6333,3.7903
0.65,3.8911
0.6667,3.9919
0.6833,4.0927
0.7,4.1935
0.7167,4.2944
0.7333,4.3952
0.75,4.496
0.7667,4.5968
0.7833,4.6976
0.8,4.7984
0.8167,4.8992
0.8333,5.0
0.85,5.0806
0.8667,5.1815
0.8833,5.2823
0.9,5.3831
0.9167,5.4839
0.9333,5.5847
0.95,5.6855
0.9667,5.7863
0.9833,5.8871
1.0,5.9879
1.0167,6.0887
1.0333,6.1895
1.05,6.2903
1.0667,6.3911
1.0833,6.4919
1.1,6.5927
1.1167,6.6935
1.1333,6.7944
1.15,6.8952
1.1667,6.996
1.1833,7.0968
1.2,7.1976
1.2167,7.2984
1.2333,7.3992
1.25,7.5
1.2667,7.6008
1.2833,7.7016
1.3,7.7823
1.3167,7.8831
1.3333,7.9839
1.35,8.0847
1.3667,8.1855
1.3833,8.2863
1.4,8.3871
1.4167,8.4879
1.4333,8.5887
1.45,8.6895
1.4667,8.7903
1.4833,8.8911
1.5,8.9919
1.5167,9.0927
1.5333,9.1935
1.55,9.2944
1.5667,9.3952
1.5833,9.496
1.6,9.5968
1.6167,9.6976
1.6333,9.7984
1.65,9.8992
1.6667,10.0
1.6833,9.8992
1.7,9.7984
1.7167,9.6976
1.7333,9.5968
1.75,9.496
1.7667,9.3952
1.7833,9.2944
1.8,9.1935
1.8167,9.0927
1.8333,8.9919
1.85,8.8911
1.8667,8.7903
1.8833,8.6895
1.9,8.5887
1.9167,8.4879
1.9333,8.3871
1.95,8.2863
1.9667,8.1855
1.9833,8.0847
2.0,7.9839
2.0167,7.8831
2.0333,7.7823
2.05,7.7016
2.0667,7.6008
2.0833,7.5
2.1,7.3992
2.1167,7.2984
2.1333,7.1976
2.15,7.0968
2.1667,6.996
2.1833,6.8952
2.2,6.7944
2.2167,6.6935
2.2333,6.5927
2.25,6.4919
2.2667,6.3911
2.2833,6.2903
2.3,6.1895
2.3167,6.0887
2.3333,5.9879
2.35,5.8871
2.3667,5.7863
2.3833,5.6855
2.4,5.5847
2.4167,5.4839
2.4333,5.3831
2.45,5.2823
2.4667,5.1815
2.4833,5.0806
2.5,5.0
2.5167,4.8992
2.5333,4.7984
2.55,4.6976
2.5667,4.5968
2.5833,4.496
2.6,4.3952
2.6167,4.2944
2.6333,4.1935
2.65,4.0927
2.6667,3.9919
2.6833,3.8911
2.7,3.7903
2.7167,3.6895
2.7333,3.5887
2.75,3.4879
2.7667,3.3871
2.7833,3.2863
2.8,3.1855
2.8167,3.0847
2.8333,2.9839
2.85,2.9032
2.8667,2.8024
2.8833,2.7016
2.9,2.6008
2.9167,2.5
2.9333,2.3992
2.95,2.2984
2.9667,2.1976
2.9833,2.0968
3.0,1.996
3.0167,1.8952
3.0333,1.7944
3.05,1.6935
