Hour Index,Users
000000,2
000001,3
000002,4
000003,2
000004,4
000005,3
000006,4
000007,4
000008,13
000009,17
000010,18
000011,11
000012,10
000013,7
000014,7
000015,2
000016,4
000017,3
000018,4
000019,3
000020,7
000021,4
000022,6
000023,4
000024,2
000025,1
000026,5
000027,5
000028,2
000029,5
000030,4
000031,6
000032,6
000033,5
000034,9
000035,8
000036,4
000037,4
000038,3
000039,0
000040,1
000041,3
000042,0
000043,1
000044,4
000045,3
000046,4
000047,8
000048,3
000049,5
000050,6
000051,9
000052,7
000053,4
000054,1
000055,5
000056,6
000057,8
000058,10
000059,3
000060,5
000061,1
000062,1
000063,4
000064,1
000065,0
000066,3
000067,0
000068,1
000069,0
000070,4
000071,5
000072,0
000073,4
000074,4
000075,2
000076,4
000077,2
000078,1
000079,4
000080,5
000081,7
000082,20
000083,8
000084,8
000085,6
000086,7
000087,4
000088,3
000089,1
000090,2
000091,4
000092,3
000093,4
000094,4
000095,5
000096,1
000097,3
000098,5
000099,6
000100,4
000101,4
000102,5
000103,4
000104,3
000105,5
000106,17
000107,13
000108,2
000109,3
000110,5
000111,6
000112,4
000113,3
000114,5
000115,2
000116,5
000117,2
000118,3
000119,3
000120,2
000121,1
000122,4
000123,2
000124,3
000125,6
000126,3
000127,5
000128,3
000129,3
000130,4
000131,2
000132,2
000133,3
000134,2
000135,1
000136,0
000137,1
000138,0
000139,0
000140,0
000141,2
000142,3
000143,0
000144,4
000145,1
000146,2
000147,1
000148,7
000149,2
000150,2
000151,1
000152,8
000153,9
000154,13
000155,6
000156,4
000157,6
000158,9
000159,7
000160,4
000161,6
000162,4
000163,2
000164,1
000165,7
000166,5
000167,4
000168,4
000169,5
000170,5
000171,12
000172,3
000173,7
000174,6
000175,2
000176,9
000177,8
000178,13
000179,6
000180,6
000181,6
000182,1
000183,4
000184,2
000185,4
000186,1
000187,0
000188,4
000189,6
000190,5
000191,6
000192,3
000193,5
000194,1
000195,1
000196,5
000197,3
000198,12
000199,6
000200,2
000201,11
000202,11
000203,14
000204,9
000205,2
000206,6
000207,7
000208,4
000209,4
000210,1
000211,4
000212,2
000213,5
000214,4
000215,6
000216,0
000217,3
000218,4
000219,4
000220,4
000221,3
000222,2
000223,4
000224,0
000225,7
000226,7
000227,7
000228,3
000229,1
000230,3
000231,2
000232,0
000233,3
000234,0
000235,3
000236,3
000237,6
000238,1
000239,3
000240,3
000241,1
000242,4
000243,3
000244,4
000245,2
000246,2
000247,3
000248,8
000249,7
000250,15
000251,10
000252,9
000253,4
000254,3
000255,3
000256,3
000257,2
000258,4
000259,4
000260,1
000261,3
000262,4
000263,1
000264,3
000265,2
000266,3
000267,4
000268,3
000269,3
000270,2
000271,4
000272,6
000273,2
000274,15
000275,2
000276,2
000277,5
000278,6
000279,2
000280,5
000281,0
000282,1
000283,0
000284,1
000285,2
000286,2
000287,3
000288,0
000289,1
000290,1
000291,2
000292,3
000293,4
000294,2
000295,3
000296,4
000297,7
000298,0
000299,0
000300,6
000301,3
000302,2
000303,1
000304,1
000305,1
000306,1
000307,1
000308,0
000309,0
000310,16
000311,2
000312,4
000313,4
000314,1
000315,1
000316,6
000317,3
000318,1
000319,4
000320,2
000321,3
000322,6
000323,11
000324,28
000325,14
000326,14
000327,13
000328,11
000329,11
000330,8
000331,12
000332,9
000333,6
000334,5
000335,7
000336,16
000337,10
000338,6
000339,9
000340,6
000341,8
000342,6
000343,4
000344,19
000345,17
000346,12
000347,13
000348,6
000349,6
000350,2
000351,6
000352,1
000353,2
000354,3
000355,1
000356,1
000357,0
000358,6
000359,7
000360,3
000361,6
000362,3
000363,5
000364,8
000365,2
000366,3
000367,5
000368,0
000369,9
000370,21
000371,14
000372,10
000373,14
000374,22
000375,19
000376,11
000377,6
000378,5
000379,4
000380,5
000381,10
000382,11
000383,10
000384,12
000385,4
000386,11
000387,3
000388,2
000389,6
000390,5
000391,1
000392,14
000393,14
000394,9
000395,7
000396,9
000397,2
000398,10
000399,8
000400,4
000401,6
000402,3
000403,10
000404,5
000405,5
000406,5
000407,7
000408,2
000409,5
000410,3
000411,9
000412,4
000413,4
000414,3
000415,6
000416,6
000417,4
000418,7
000419,5
000420,6
000421,6
000422,6
000423,4
000424,2
000425,2
000426,3
000427,2
000428,4
000429,2
000430,3
000431,6
000432,5
000433,2
000434,1
000435,10
000436,5
000437,2
000438,1
000439,3
000440,6
000441,14
000442,9
000443,11
000444,9
000445,7
000446,4
000447,3
000448,2
000449,2
000450,3
000451,1
000452,5
000453,7
000454,8
000455,7
000456,4
000457,1
000458,5
000459,4
000460,3
000461,3
000462,2
000463,6
000464,3
000465,5
000466,1
000467,4
000468,1
000469,2
000470,1
000471,5
000472,2
000473,5
000474,0
000475,1
000476,1
000477,1
000478,1
000479,2
000480,1
000481,4
000482,6
000483,5
000484,7
000485,5
000486,6
000487,1
000488,9
000489,31
000490,44
000491,63
000492,46
000493,50
000494,27
000495,25
000496,32
000497,20
000498,17
000499,16
000500,13
000501,15
000502,32
000503,32
000504,20
000505,26
000506,22
000507,18
000508,6
000509,13
000510,3
000511,14
000512,17
000513,16
000514,12
000515,11
000516,2
000517,6
000518,5
000519,6
000520,3
000521,5
000522,8
000523,3
000524,4
000525,4
000526,6
000527,9
000528,10
000529,6
000530,7
000531,8
000532,2
000533,5
000534,5
000535,11
000536,14
000537,9
000538,13
000539,4
000540,10
000541,8
