x,y
0.0167,0.1411
0.0333,0.2621
0.05,0.4032
0.0667,0.5242
0.0833,0.6653
0.1,0.8065
0.1167,0.9274
0.1333,1.0685
0.15,1.1895
0.1667,1.3306
0.1833,1.4718
0.2,1.5927
0.2167,1.7339
0.2333,1.8548
0.25,1.996
0.2667,2.1371
0.2833,2.2581
0.3,2.3992
0.3167,2.5202
0.3333,2.6613
0.35,2.8024
0.3667,2.9234
0.3833,3.0645
0.4,3.1855
0.4167,3.3266
0.4333,3.4677
0.45,3.5887
0.4667,3.7298
0.4833,3.8508
0.5,3.9919
0.5167,4.1331
0.5333,4.254
0.55,4.3952
0.5667,4.5161
0.5833,4.6573
0.6,4.7984
0.6167,4.9194
0.6333,5.0605
0.65,5.1815
0.6667,5.3226
0.6833,5.4637
0.7,5.5847
0.7167,5.7258
0.7333,5.8669
0.75,5.9879
0.7667,6.129
0.7833,6.25
0.8,6.3911
0.8167,6.5323
0.8333,6.6532
0.85,6.7944
0.8667,6.9153
0.8833,7.0565
0.9,7.1976
0.9167,7.3185
0.9333,7.4597
0.95,7.6008
0.9667,7.7218
0.9833,7.8629
1.0,7.9839
1.0167,8.125
1.0333,8.2661
1.05,8.3871
1.0667,8.5282
1.0833,8.6694
1.1,8.7903
1.1167,8.9315
1.1333,9.0726
1.15,9.1935
1.1667,9.3347
1.1833,9.4556
1.2,9.5968
1.2167,9.7379
1.2333,9.8589
1.25,10.0
1.2667,9.8589
1.2833,9.7379
1.3,9.5968
1.3167,9.4556
1.3333,9.3347
1.35,9.1935
1.3667,9.0726
1.3833,8.9315
1.4,8.7903
1.4167,8.6694
1.4333,8.5282
1.45,8.3871
1.4667,8.2661
1.4833,8.125
1.5,7.9839
1.5167,7.8629
1.5333,7.7218
1.55,7.6008
1.5667,7.4597
1.5833,7.3185
1.6,7.1976
1.6167,7.0565
1.6333,6.9153
1.65,6.7944
1.6667,6.6532
1.6833,6.5323
1.7,6.3911
1.7167,6.25
1.7333,6.129
1.75,5.9879
1.7667,5.8669
1.7833,5.7258
1.8,5.5847
1.8167,5.4637
1.8333,5.3226
1.85,5.1815
1.8667,5.0605
1.8833,4.9194
1.9,4.7984
1.9167,4.6573
1.9333,4.5161
1.95,4.3952
1.9667,4.254
1.9833,4.1331
2.0,3.9919
2.0167,3.8508
2.0333,3.7298
2.05,3.5887
2.0667,3.4677
2.0833,3.3266
2.1,3.1855
2.1167,3.0645
2.1333,2.9234
2.15,2.8024
2.1667,2.6613
2.1833,2.5202
2.2,2.3992
2.2167,2.2581
2.2333,2.1371
2.25,1.996
2.2667,1.8548
2.2833,1.7339
2.3,1.5927
2.3167,1.4718
2.3333,1.3306
2.35,1.1895
2.3667,1.0685
2.3833,0.9274
2.4,0.8065
2.4167,0.6653
2.4333,0.5242
2.45,0.4032
2.4667,0.2621
2.4833,0.1411
2.5,0.0
2.5167,-0.1411
2.5333,-0.2621
2.55,-0.4032
2.5667,-0.5242
2.5833,-0.6653
2.6,-0.8065
2.6167,-0.9274
2.6333,-1.0685
2.65,-1.1895
2.6667,-1.3306
2.6833,-1.4718
2.7,-1.5927
2.7167,-1.7339
2.7333,-1.8548
2.75,-1.996
2.7667,-2.1371
2.7833,-2.2581
2.8,-2.3992
2.8167,-2.5202
2.8333,-2.6613
2.85,-2.8024
2.8667,-2.9234
2.8833,-3.0645
2.9,-3.1855
2.9167,-3.3266
2.9333,-3.4677
2.95,-3.5887
2.9667,-3.7298
2.9833,-3.8508
3.0,-3.9919
3.0167,-4.1331
3.0333,-4.254
3.05,-4.3952
3.0667,-4.5161
3.0833,-4.6573
3.1,-4.7984
3.1167,-4.9194
3.1333,-5.0605
3.15,-5.1815
3.1667,-5.3226
3.1833,-5.4637
3.2,-5.5847
3.2167,-5.7258
3.2333,-5.8669
3.25,-5.9879
3.2667,-6.129
3.2833,-6.25
3.3,-6.3911
3.3167,-6.5323
3.3333,-6.6532
3.35,-6.7944
3.3667,-6.9153
3.3833,-7.0565
3.4,-7.1976
3.4167,-7.3185
3.4333,-7.4597
3.45,-7.6008
3.4667,-7.7218
3.4833,-7.8629
3.5,-7.9839
3.5167,-8.125
3.5333,-8.2661
3.55,-8.3871
3.5667,-8.5282
3.5833,-8.6694
3.6,-8.7903
3.6167,-8.9315
3.6333,-9.0726
