x1_PD009_right,y1_PD009_right,x2_PD009_right,y2_PD009_right,x1_PD012_left,y1_PD012_left,x2_PD012_left,y2_PD012_left,x1_PD004_left,y1_PD004_left,x2_PD004_left,y2_PD004_left,x1_PD013_right,y1_PD013_right,x2_PD013_right,y2_PD013_right,x1_PD002_left,y1_PD002_left,x2_PD002_left,y2_PD002_left,x1_PD008_right,y1_PD008_right,x2_PD008_right,y2_PD008_right,x1_PD011_right,y1_PD011_right,x2_PD011_right,y2_PD011_right,x1_PD003_left,y1_PD003_left,x2_PD003_left,y2_PD003_left,x1_PD001_right,y1_PD001_right,x2_PD001_right,y2_PD001_right,x1_PD006_left,y1_PD006_left,x2_PD006_left,y2_PD006_left,x1_PD010_left,y1_PD010_left,x2_PD010_left,y2_PD010_left,x1_PD007_right,y1_PD007_right,x2_PD007_right,y2_PD007_right,x1_PD005_right,y1_PD005_right,x2_PD005_right,y2_PD005_right
0.0033,-0.9879,0.0033,-1.7742,0.0033,1.2097,0.0033,0.625,0.0033,0.1613,0.0033,0.9879,0.0033,-0.5645,0.0033,-0.8871,0.0033,0.1008,0.0033,-1.1694,0.0033,15.8669,0.0033,0.7661,0.0033,-1.6935,0.0033,-0.625,0.0033,-0.746,0.0033,-1.2298,0.0033,0.5444,0.0033,0.8065,0.0033,-0.8065,0.0033,-0.2823,0.0033,-0.2016,0.0033,0.0403,0.0033,0.1411,0.0033,-1.129,0.0033,-1.0887,0.0033,0.4435
0.0067,-0.9274,0.0067,-3.629,0.0067,1.129,0.0067,0.625,0.0067,0.3629,0.0067,1.0484,0.0067,-0.4435,0.0067,-1.0282,0.0067,0.0605,0.0067,-1.1895,0.0067,1.2903,0.0067,0.6452,0.0067,-1.7137,0.0067,-0.7056,0.0067,-0.6452,0.0067,-1.25,0.0067,0.6048,0.0067,0.7661,0.0067,-0.8468,0.0067,-0.2218,0.0067,0.1815,0.0067,0.0605,0.0067,0.1815,0.0067,-0.9879,0.0067,-0.9073,0.0067,0.4435
0.01,-1.2702,0.01,-3.8105,0.01,1.129,0.01,0.5847,0.01,0.1815,0.01,1.0685,0.01,-0.4435,0.01,-1.0484,0.01,0.1815,0.01,-1.0484,0.01,1.3357,0.01,0.6653,0.01,-1.6331,0.01,-0.6855,0.01,-0.6653,0.01,-1.2298,0.01,0.6048,0.01,0.7258,0.01,-0.9073,0.01,-0.2419,0.01,0.0,0.01,-0.0605,0.01,0.2016,0.01,-1.0685,0.01,-0.8669,0.01,0.4637
0.0133,-1.3911,0.0133,-5.0202,0.0133,1.25,0.0133,0.6452,0.0133,0.3831,0.0133,1.3306,0.0133,-0.5645,0.0133,-0.9274,0.0133,0.504,0.0133,-1.2903,0.0133,1.381,0.0133,0.8468,0.0133,-1.6734,0.0133,-0.625,0.0133,-0.6653,0.0133,-1.1895,0.0133,0.7661,0.0133,0.9073,0.0133,-1.0685,0.0133,-0.0806,0.0133,0.2419,0.0133,0.1411,0.0133,0.121,0.0133,-1.0484,0.0133,-1.0081,0.0133,0.3831
0.0167,-1.0685,0.0167,-5.2016,0.0167,1.129,0.0167,0.7056,0.0167,0.2621,0.0167,1.1895,0.0167,-0.504,0.0167,-0.8468,0.0167,0.3831,0.0167,-1.3105,0.0167,1.4264,0.0167,0.8065,0.0167,-1.7944,0.0167,-0.4637,0.0167,-0.6653,0.0167,-1.2298,0.0167,0.6653,0.0167,0.9677,0.0167,-0.8669,0.0167,-0.2823,0.0167,0.0403,0.0167,0.1008,0.0167,0.1815,0.0167,-1.129,0.0167,-0.6048,0.0167,0.4637
0.02,-0.9073,0.02,-5.0403,0.02,1.25,0.02,0.8266,0.02,0.6452,0.02,1.1895,0.02,-0.504,0.02,-1.0282,0.02,0.0806,0.02,-1.0484,0.02,1.4718,0.02,0.6452,0.02,-1.754,0.02,-0.6048,0.02,-0.6452,0.02,-1.25,0.02,0.4637,0.02,0.7863,0.02,-0.8468,0.02,-0.1815,0.02,0.0605,0.02,-0.0605,0.02,0.1815,0.02,-0.9879,0.02,-1.0484,0.02,0.3024
0.0233,-1.0282,0.0233,-4.3347,0.0233,1.0484,0.0233,0.7258,0.0233,0.5645,0.0233,1.0282,0.0233,-0.5847,0.0233,-0.9073,0.0233,0.2823,0.0233,-1.0484,0.0233,1.4449,0.0233,0.8065,0.0233,-1.6935,0.0233,-0.6048,0.0233,-0.7056,0.0233,-1.2298,0.0233,0.7056,0.0233,1.0282,0.0233,-0.9677,0.0233,-0.3629,0.0233,-0.0202,0.0233,0.0806,0.0233,0.1815,0.0233,-1.0685,0.0233,-0.8669,0.0233,0.3831
0.0267,-1.0685,0.0267,-4.496,0.0267,1.2903,0.0267,0.6048,0.0267,0.2016,0.0267,1.1089,0.0267,-0.4435,0.0267,-0.9476,0.0267,-0.3427,0.0267,-1.3105,0.0267,1.418,0.0267,0.625,0.0267,-1.6935,0.0267,-0.6048,0.0267,-0.5645,0.0267,-1.2298,0.0267,0.746,0.0267,0.8266,0.0267,-1.1694,0.0267,-0.2218,0.0267,-0.2016,0.0267,0.0,0.0267,0.1008,0.0267,-1.0887,0.0267,-0.9173,0.0267,0.3831
0.03,-0.9677,0.03,-4.496,0.03,1.25,0.03,0.7863,0.03,0.4032,0.03,1.1089,0.03,-0.504,0.03,-1.0282,0.03,0.0202,0.03,-1.1895,0.03,1.3911,0.03,0.6452,0.03,-1.6935,0.03,-0.6855,0.03,-0.7056,0.03,-1.2298,0.03,0.6653,0.03,1.0081,0.03,-1.0282,0.03,-0.1008,0.03,0.0605,0.03,0.121,0.03,0.121,0.03,-1.0887,0.03,-0.9677,0.03,0.4839
0.0333,-0.8669,0.0333,-4.4556,0.0333,1.3306,0.0333,0.7863,0.0333,0.504,0.0333,1.1895,0.0333,-0.4637,0.0333,-0.9476,0.0333,-0.1008,0.0333,-1.0484,0.0333,1.3642,0.0333,0.8468,0.0333,-1.754,0.0333,-0.4637,0.0333,-0.5847,0.0333,-1.1895,0.0333,0.6452,0.0333,0.8669,0.0333,-0.9073,0.0333,-0.1815,0.0333,-0.0605,0.0333,0.0806,0.0333,0.0806,0.0333,-1.0484,0.0333,-1.0484,0.0333,0.4032
