x1_PD009_right,y1_PD009_right,x2_PD009_right,y2_PD009_right,x1_PD012_left,y1_PD012_left,x2_PD012_left,y2_PD012_left,x1_PD004_left,y1_PD004_left,x2_PD004_left,y2_PD004_left,x1_PD013_right,y1_PD013_right,x2_PD013_right,y2_PD013_right,x1_PD002_left,y1_PD002_left,x2_PD002_left,y2_PD002_left,x1_PD008_right,y1_PD008_right,x2_PD008_right,y2_PD008_right,x1_PD011_right,y1_PD011_right,x2_PD011_right,y2_PD011_right,x1_PD003_left,y1_PD003_left,x2_PD003_left,y2_PD003_left,x1_PD001_right,y1_PD001_right,x2_PD001_right,y2_PD001_right,x1_PD006_left,y1_PD006_left,x2_PD006_left,y2_PD006_left,x1_PD010_left,y1_PD010_left,x2_PD010_left,y2_PD010_left,x1_PD007_right,y1_PD007_right,x2_PD007_right,y2_PD007_right,x1_PD005_right,y1_PD005_right,x2_PD005_right,y2_PD005_right
0.0033,1.2097,0.0033,-6.1089,0.0033,0.0403,0.0033,1.754,0.0033,6.3105,0.0033,0.3427,0.0033,-0.504,0.0033,-0.5444,0.0033,-0.121,0.0033,-1.1694,0.0033,0.746,0.0033,0.625,0.0033,-0.9677,0.0033,-0.2016,0.0033,0.3427,0.0033,-1.0484,0.0033,0.7863,0.0033,0.8669,0.0033,-0.0605,0.0033,0.3427,0.0033,1.4113,0.0033,0.1613,0.0033,-0.9879,0.0033,-1.3306,0.0033,0.1613,0.0033,4.9194
0.0067,1.2298,0.0067,-4.9866,0.0067,-0.0202,0.0067,1.8145,0.0067,6.3256,0.0067,0.6653,0.0067,-0.4032,0.0067,-0.746,0.0067,-0.1613,0.0067,-1.2097,0.0067,0.6048,0.0067,0.6452,0.0067,-0.7661,0.0067,-0.3226,0.0067,0.3831,0.0067,-1.1089,0.0067,0.8468,0.0067,0.7258,0.0067,-0.0806,0.0067,0.0806,0.0067,1.4113,0.0067,0.1815,0.0067,-0.9677,0.0067,-1.3296,0.0067,0.1411,0.0067,5.0202
0.01,1.2298,0.01,-3.8642,0.01,-0.121,0.01,1.875,0.01,6.3407,0.01,0.504,0.01,-0.504,0.01,-0.625,0.01,0.1613,0.01,-0.746,0.01,0.7863,0.01,0.8266,0.01,-0.9073,0.01,-0.121,0.01,0.3831,0.01,-1.0685,0.01,1.0081,0.01,0.8065,0.01,-0.3024,0.01,-0.0605,0.01,1.2702,0.01,0.1008,0.01,-1.0282,0.01,-1.3286,0.01,0.3024,0.01,5.121
0.0133,1.3508,0.0133,-2.7419,0.0133,-0.121,0.0133,1.9355,0.0133,6.3557,0.0133,1.0685,0.0133,-0.4234,0.0133,-0.625,0.0133,-0.1613,0.0133,-1.0081,0.0133,0.7863,0.0133,0.5847,0.0133,-0.7661,0.0133,-0.0403,0.0133,0.4435,0.0133,-1.0685,0.0133,0.7863,0.0133,1.0282,0.0133,-0.6452,0.0133,-0.3226,0.0133,1.4516,0.0133,0.2016,0.0133,-0.9476,0.0133,-1.3275,0.0133,0.2419,0.0133,5.0605
0.0167,1.1492,0.0167,-1.6196,0.0167,-0.0806,0.0167,1.996,0.0167,6.3708,0.0167,0.504,0.0167,-0.4839,0.0167,-0.6048,0.0167,-0.4234,0.0167,-1.1492,0.0167,0.8871,0.0167,0.504,0.0167,-0.7863,0.0167,-0.0605,0.0167,0.3629,0.0167,-0.9274,0.0167,0.7863,0.0167,1.1089,0.0167,-0.9073,0.0167,-0.1411,0.0167,1.5524,0.0167,0.0605,0.0167,-0.9476,0.0167,-1.3265,0.0167,0.2016,0.0167,5.0605
0.02,1.25,0.02,-0.4973,0.02,-0.1411,0.02,2.2984,0.02,6.3859,0.02,0.6653,0.02,-0.6855,0.02,-0.746,0.02,-0.1815,0.02,-0.9274,0.02,0.7056,0.02,0.5645,0.02,-0.8468,0.02,-0.1613,0.02,0.4637,0.02,-0.9274,0.02,0.9274,0.02,1.1492,0.02,-0.8468,0.02,-0.1411,0.02,1.5524,0.02,0.3831,0.02,-1.0081,0.02,-1.3254,0.02,0.1815,0.02,5.1008
0.0233,1.3508,0.0233,0.625,0.0233,-0.0806,0.0233,2.6008,0.0233,6.401,0.0233,0.3024,0.0233,-0.5645,0.0233,-0.6452,0.0233,-0.1613,0.0233,-1.0685,0.0233,0.625,0.0233,0.6452,0.0233,-0.6653,0.0233,-0.0605,0.0233,0.4435,0.0233,-0.9274,0.0233,0.746,0.0233,1.1089,0.0233,-0.8871,0.0233,-0.1815,0.0233,1.3911,0.0233,0.3024,0.0233,-1.1089,0.0233,-1.3244,0.0233,0.1411,0.0233,4.9798
0.0267,1.1694,0.0267,1.1694,0.0267,-0.0806,0.0267,3.2258,0.0267,6.4161,0.0267,0.4435,0.0267,-0.4839,0.0267,-0.5645,0.0267,-0.1411,0.0267,-0.9476,0.0267,0.7661,0.0267,0.6653,0.0267,-0.9073,0.0267,-0.121,0.0267,0.3831,0.0267,-0.8871,0.0267,0.6048,0.0267,0.8871,0.0267,-0.7661,0.0267,-0.1008,0.0267,1.371,0.0267,0.1411,0.0267,-1.1895,0.0267,-1.3233,0.0267,-0.0605,0.0267,5.1815
0.03,1.3508,0.03,2.2379,0.03,-0.1008,0.03,3.5685,0.03,6.4312,0.03,0.4234,0.03,-0.3831,0.03,-0.504,0.03,-0.6048,0.03,-1.0282,0.03,0.9476,0.03,0.7056,0.03,-1.0282,0.03,-0.1815,0.03,0.4435,0.03,-0.9274,0.03,0.8065,0.03,1.1694,0.03,-0.8669,0.03,-0.0403,0.03,1.3306,0.03,0.2621,0.03,-1.3911,0.03,-1.3223,0.03,0.0605,0.03,4.9194
0.0333,1.3105,0.0333,2.1169,0.0333,-0.1613,0.0333,3.4677,0.0333,6.4463,0.0333,0.4839,0.0333,-0.504,0.0333,-0.4032,0.0333,-0.2218,0.0333,-1.3911,0.0333,0.9476,0.0333,0.7258,0.0333,-0.8266,0.0333,-0.121,0.0333,0.4234,0.0333,-0.9274,0.0333,0.8266,0.0333,0.9879,0.0333,-0.8468,0.0333,-0.2218,0.0333,1.5121,0.0333,0.5847,0.0333,-1.371,0.0333,-1.3213,0.0333,0.1613,0.0333,5.0202
0.0367,1.2702,0.0367,2.2379,0.0367,-0.0403,0.0367,3.3669,0.0367,6.4614,0.0367,0.121,0.0367,-0.5645,0.0367,-0.3629,0.0367,-0.2218,0.0367,-0.9879,0.0367,0.746,0.0367,0.5847,0.0367,-0.7863,0.0367,-0.0806,0.0367,0.3226,0.0367,-0.8669,0.0367,0.9073,0.0367,1.1895,0.0367,-0.746,0.0367,-0.121,0.0367,1.371,0.0367,0.8468,0.0367,-1.4113,0.0367,-1.3202,0.0367,0.2621,0.0367,5.1411
0.04,1.3508,0.04,1.2702,0.04,0.0,0.04,3.1452,0.04,6.4764,0.04,-0.504,0.04,-0.504,0.04,-0.3629,0.04,-0.1815,0.04,-0.8266,0.04,0.7863,0.04,0.7258,0.04,-0.8266,0.04,-0.1008,0.04,0.4032,0.04,-1.0484,0.04,0.6452,0.04,1.2298,0.04,-0.8669,0.04,-0.2621,0.04,1.2097,0.04,0.2621,0.04,-1.2097,0.04,-1.3192,0.04,0.3024,0.04,5.0605
