x1_PDPW102_right,y1_PDPW102_right,x2_PDPW102_right,y2_PDPW102_right,x1_PDPW112_left,y1_PDPW112_left,x2_PDPW112_left,y2_PDPW112_left,x1_PDQE102_right,y1_PDQE102_right,x2_PDQE102_right,y2_PDQE102_right,x1_PDPW106_right,y1_PDPW106_right,x2_PDPW106_right,y2_PDPW106_right,x1_PDQE107_left,y1_PDQE107_left,x2_PDQE107_left,y2_PDQE107_left,x1_PDQE105_right,y1_PDQE105_right,x2_PDQE105_right,y2_PDQE105_right,x1_PDPW110_right,y1_PDPW110_right,x2_PDPW110_right,y2_PDPW110_right,x1_PDPY101_right,y1_PDPY101_right,x2_PDPY101_right,y2_PDPY101_right,x1_PDQE112_left,y1_PDQE112_left,x2_PDQE112_left,y2_PDQE112_left,x1_PDQE104_left,y1_PDQE104_left,x2_PDQE104_left,y2_PDQE104_left,x1_PDQE113_right,y1_PDQE113_right,x2_PDQE113_right,y2_PDQE113_right,x1_PDQE108_right,y1_PDQE108_right,x2_PDQE108_right,y2_PDQE108_right,x1_PDQE115_right,y1_PDQE115_right,x2_PDQE115_right,y2_PDQE115_right,x1_PDPW111_left,y1_PDPW111_left,x2_PDPW111_left,y2_PDPW111_left,x1_PDPW107_left,y1_PDPW107_left,x2_PDPW107_left,y2_PDPW107_left
0.0033,-0.2419,0.0033,-1.1492,0.0033,1.5927,0.0033,-7.0968,0.0033,0.2419,0.0033,0.8871,0.0033,-1.1694,0.0033,0.1815,0.0033,1.4919,0.0033,0.2218,0.0033,-2.0363,0.0033,0.5242,0.0033,0.7863,0.0033,-0.625,0.0033,0.0403,0.0033,0.7863,0.0033,-1.0685,0.0033,-0.0605,0.0033,0.9476,0.0033,0.9476,0.0033,1.6331,0.0033,-1.3911,0.0033,4.0726,0.0033,1.4315,0.0033,0.5242,0.0033,-2.2379,0.0033,1.2298,0.0033,1.1895,0.0033,1.1694,0.0033,1.5323
0.0067,-0.3226,0.0067,-1.1089,0.0067,1.6331,0.0067,-7.0968,0.0067,0.4637,0.0067,0.746,0.0067,-0.9476,0.0067,0.1411,0.0067,1.371,0.0067,0.2218,0.0067,-2.2782,0.0067,0.6048,0.0067,0.7956,0.0067,-0.4435,0.0067,0.2016,0.0067,0.7476,0.0067,-1.4516,0.0067,0.1613,0.0067,1.2903,0.0067,0.9274,0.0067,1.4718,0.0067,-1.371,0.0067,3.9113,0.0067,1.4718,0.0067,0.746,0.0067,-1.4516,0.0067,1.5121,0.0067,1.1492,0.0067,1.0081,0.0067,1.5121
0.01,-0.2218,0.01,-1.1694,0.01,1.5726,0.01,-7.0968,0.01,0.5242,0.01,0.4839,0.01,-0.7056,0.01,0.0403,0.01,1.4919,0.01,-0.121,0.01,-2.1371,0.01,0.6653,0.01,0.8049,0.01,-0.4839,0.01,0.2621,0.01,0.709,0.01,-1.7137,0.01,0.0806,0.01,1.0887,0.01,1.0081,0.01,1.4718,0.01,-1.3306,0.01,4.0726,0.01,1.2298,0.01,0.5645,0.01,-1.2903,0.01,1.3508,0.01,1.129,0.01,1.0685,0.01,1.3911
0.0133,-0.4032,0.0133,-1.0081,0.0133,1.5726,0.0133,-4.0121,0.0133,0.3024,0.0133,0.8065,0.0133,-0.2823,0.0133,0.0202,0.0133,1.371,0.0133,0.4234,0.0133,-2.3387,0.0133,0.6048,0.0133,0.8142,0.0133,-0.5847,0.0133,0.1008,0.0133,0.6704,0.0133,-1.6331,0.0133,-0.4637,0.0133,1.1895,0.0133,0.8065,0.0133,1.7339,0.0133,-1.3105,0.0133,3.7702,0.0133,1.1895,0.0133,0.4839,0.0133,-1.4516,0.0133,1.2903,0.0133,1.0484,0.0133,1.2298,0.0133,1.4113
0.0167,-0.2419,0.0167,-1.1492,0.0167,1.7339,0.0167,-3.1048,0.0167,0.2016,0.0167,0.6653,0.0167,0.4637,0.0167,0.0202,0.0167,1.4516,0.0167,0.5847,0.0167,-2.0565,0.0167,0.5847,0.0167,0.8235,0.0167,-0.1411,0.0167,0.121,0.0167,0.6317,0.0167,-1.2298,0.0167,-0.6048,0.0167,1.0887,0.0167,1.1694,0.0167,1.6734,0.0167,-1.3105,0.0167,3.9718,0.0167,1.6129,0.0167,0.504,0.0167,-1.3306,0.0167,1.3105,0.0167,1.25,0.0167,1.1089,0.0167,1.371
0.02,-0.2419,0.02,-1.0282,0.02,1.3911,0.02,-2.6411,0.02,0.4032,0.02,0.9073,0.02,0.9073,0.02,-0.0806,0.02,1.4718,0.02,1.0081,0.02,-2.1169,0.02,0.6653,0.02,0.8328,0.02,-0.0605,0.02,0.1815,0.02,0.5931,0.02,-1.3105,0.02,-0.7056,0.02,1.2097,0.02,0.7056,0.02,1.5726,0.02,-1.3911,0.02,3.9919,0.02,1.3105,0.02,0.7056,0.02,-1.3172,0.02,1.4315,0.02,1.2702,0.02,1.0282,0.02,1.2903
0.0233,-0.3629,0.0233,-1.2097,0.0233,1.6331,0.0233,-2.1976,0.0233,0.2218,0.0233,0.6855,0.0233,0.9879,0.0233,-0.0202,0.0233,1.754,0.0233,1.6734,0.0233,-1.8548,0.0233,0.4839,0.0233,0.8421,0.0233,-0.2823,0.0233,0.121,0.0233,0.5544,0.0233,-1.2702,0.0233,-0.9274,0.0233,1.0282,0.0233,0.8669,0.0233,1.4718,0.0233,-1.2298,0.0233,3.3266,0.0233,1.1895,0.0233,0.3831,0.0233,-1.3038,0.0233,1.2702,0.0233,1.1089,0.0233,1.1492,0.0233,1.8347
0.0267,-0.2823,0.0267,-0.9879,0.0267,1.6129,0.0267,-1.6129,0.0267,0.4637,0.0267,0.9677,0.0267,1.0685,0.0267,-0.0202,0.0267,1.4919,0.0267,2.0766,0.0267,-2.2984,0.0267,0.5645,0.0267,0.8514,0.0267,-0.5645,0.0267,0.4637,0.0267,0.5158,0.0267,-1.5524,0.0267,-0.9677,0.0267,1.25,0.0267,0.6855,0.0267,1.4718,0.0267,-1.3105,0.0267,2.9637,0.0267,1.1895,0.0267,0.3427,0.0267,-1.2903,0.0267,1.4113,0.0267,1.0685,0.0267,0.9677,0.0267,1.7944
0.03,-0.2218,0.03,-1.129,0.03,1.5927,0.03,-1.2903,0.03,0.4839,0.03,1.1089,0.03,1.0081,0.03,-0.0605,0.03,1.4919,0.03,2.2581,0.03,-2.1976,0.03,0.625,0.03,0.8607,0.03,-0.539,0.03,0.3024,0.03,0.4772,0.03,-1.25,0.03,-0.7661,0.03,1.129,0.03,0.9274,0.03,1.6734,0.03,-1.3911,0.03,2.4395,0.03,1.2702,0.03,0.5645,0.03,-1.2433,0.03,1.3105,0.03,1.6331,0.03,1.0081,0.03,1.6532
0.0333,-0.3024,0.0333,-1.0887,0.0333,1.5927,0.0333,-1.4516,0.0333,0.1613,0.0333,0.5847,0.0333,0.9879,0.0333,0.0,0.0333,1.371,0.0333,2.1976,0.0333,-2.4194,0.0333,0.6048,0.0333,0.87,0.0333,-0.5134,0.0333,0.121,0.0333,0.4385,0.0333,-1.1089,0.0333,-0.8468,0.0333,1.3105,0.0333,0.9274,0.0333,1.6532,0.0333,-1.371,0.0333,1.9758,0.0333,1.2298,0.0333,0.3629,0.0333,-1.1962,0.0333,1.3105,0.0333,1.4315,0.0333,1.1492,0.0333,1.5927
