x,y
0.0167,0.0403
0.0333,0.0605
0.05,0.1008
0.0667,0.1411
0.0833,0.1613
0.1,0.2016
0.1167,0.2419
0.1333,0.2621
0.15,0.3024
0.1667,0.3226
0.1833,0.3629
0.2,0.4032
0.2167,0.4234
0.2333,0.4637
0.25,0.504
0.2667,0.5242
0.2833,0.5645
0.3,0.6048
0.3167,0.625
0.3333,0.6653
0.35,0.7056
0.3667,0.7258
0.3833,0.7661
0.4,0.8065
0.4167,0.8266
0.4333,0.8669
0.45,0.9073
0.4667,0.9274
0.4833,0.9677
0.5,0.9879
0.5167,1.0282
0.5333,1.0685
0.55,1.0887
0.5667,1.129
0.5833,1.1694
0.6,1.1895
0.6167,1.2298
0.6333,1.2702
0.65,1.2903
0.6667,1.3306
0.6833,1.371
0.7,1.3911
0.7167,1.4315
0.7333,1.4718
0.75,1.4919
0.7667,1.5323
0.7833,1.5726
0.8,1.5927
0.8167,1.6331
0.8333,1.6532
0.85,1.6935
0.8667,1.7339
0.8833,1.754
0.9,1.7944
0.9167,1.8347
0.9333,1.8548
0.95,1.8952
0.9667,1.9355
0.9833,1.9556
1.0,1.996
1.0167,2.0363
1.0333,2.0565
1.05,2.0968
1.0667,2.1371
1.0833,2.1573
1.1,2.1976
1.1167,2.2379
1.1333,2.2581
1.15,2.2984
1.1667,2.3185
1.1833,2.3589
1.2,2.3992
1.2167,2.4194
1.2333,2.4597
1.25,2.5
1.2667,2.5202
1.2833,2.5605
1.3,2.6008
1.3167,2.621
1.3333,2.6613
1.35,2.7016
1.3667,2.7218
1.3833,2.7621
1.4,2.8024
1.4167,2.8226
1.4333,2.8629
1.45,2.9032
1.4667,2.9234
1.4833,2.9637
1.5,2.9839
1.5167,3.0242
1.5333,3.0645
1.55,3.0847
1.5667,3.125
1.5833,3.1653
1.6,3.1855
1.6167,3.2258
1.6333,3.2661
1.65,3.2863
1.6667,3.3266
1.6833,3.3669
1.7,3.3871
1.7167,3.4274
1.7333,3.4677
1.75,3.4879
1.7667,3.5282
1.7833,3.5685
1.8,3.5887
1.8167,3.629
1.8333,3.6492
1.85,3.6895
1.8667,3.7298
1.8833,3.75
1.9,3.7903
1.9167,3.8306
1.9333,3.8508
1.95,3.8911
1.9667,3.9315
1.9833,3.9516
2.0,3.9919
2.0167,4.0323
2.0333,4.0524
2.05,4.0927
2.0667,4.1331
2.0833,4.1532
2.1,4.1935
2.1167,4.2339
2.1333,4.254
2.15,4.2944
2.1667,4.3145
2.1833,4.3548
2.2,4.3952
2.2167,4.4153
2.2333,4.4556
2.25,4.496
2.2667,4.5161
2.2833,4.5565
2.3,4.5968
2.3167,4.6169
2.3333,4.6573
2.35,4.6976
2.3667,4.7177
2.3833,4.7581
2.4,4.7984
2.4167,4.8185
2.4333,4.8589
2.45,4.8992
2.4667,4.9194
2.4833,4.9597
2.5,5.0
2.5167,5.0202
2.5333,5.0605
2.55,5.0806
2.5667,5.121
2.5833,5.1613
2.6,5.1815
2.6167,5.2218
2.6333,5.2621
2.65,5.2823
2.6667,5.3226
2.6833,5.3629
2.7,5.3831
2.7167,5.4234
2.7333,5.4637
2.75,5.4839
2.7667,5.5242
2.7833,5.5645
2.8,5.5847
2.8167,5.625
2.8333,5.6653
2.85,5.6855
2.8667,5.7258
2.8833,5.7661
2.9,5.7863
2.9167,5.8266
2.9333,5.8669
2.95,5.8871
2.9667,5.9274
2.9833,5.9476
3.0,5.9879
3.0167,6.0282
3.0333,6.0484
3.05,6.0887
3.0667,6.129
3.0833,6.1492
3.1,6.1895
3.1167,6.2298
3.1333,6.25
3.15,6.2903
3.1667,6.3306
3.1833,6.3508
3.2,6.3911
3.2167,6.4315
3.2333,6.4516
3.25,6.4919
3.2667,6.5323
3.2833,6.5524
3.3,6.5927
3.3167,6.6331
3.3333,6.6532
3.35,6.6935
3.3667,6.7339
3.3833,6.754
3.4,6.7944
3.4167,6.8145
3.4333,6.8548
3.45,6.8952
3.4667,6.9153
3.4833,6.9556
3.5,6.996
3.5167,7.0161
3.5333,7.0565
3.55,7.0968
3.5667,7.1169
3.5833,7.1573
3.6,7.1976
3.6167,7.2177
3.6333,7.2581
3.65,7.2984
3.6667,7.3185
3.6833,7.3589
3.7,7.3992
3.7167,7.4194
3.7333,7.4597
3.75,7.5
3.7667,7.5202
3.7833,7.5605
3.8,7.6008
3.8167,7.621
3.8333,7.6613
3.85,7.7016
3.8667,7.7218
3.8833,7.7621
3.9,7.7823
3.9167,7.8226
3.9333,7.8629
3.95,7.8831
3.9667,7.9234
3.9833,7.9637
4.0,7.9839
4.0167,8.0242
4.0333,8.0645
4.05,8.0847
4.0667,8.125
4.0833,8.1653
4.1,8.1855
4.1167,8.2258
4.1333,8.2661
4.15,8.2863
4.1667,8.3266
4.1833,8.3669
4.2,8.3871
4.2167,8.4274
4.2333,8.4677
4.25,8.4879
4.2667,8.5282
4.2833,8.5685
4.3,8.5887
4.3167,8.629
4.3333,8.6694
4.35,8.6895
4.3667,8.7298
4.3833,8.7702
4.4,8.7903
4.4167,8.8306
4.4333,8.871
4.45,8.8911
4.4667,8.9315
4.4833,8.9718
4.5,8.9919
4.5167,9.0323
4.5333,9.0726
4.55,9.0927
4.5667,9.1331
4.5833,9.1532
4.6,9.1935
4.6167,9.2339
4.6333,9.254
4.65,9.2944
4.6667,9.3347
4.6833,9.3548
4.7,9.3952
4.7167,9.4355
4.7333,9.4556
4.75,9.496
4.7667,9.5363
4.7833,9.5565
4.8,9.5968
4.8167,9.6371
4.8333,9.6573
4.85,9.6976
4.8667,9.7379
4.8833,9.7581
4.9,9.7984
4.9167,9.8387
4.9333,9.8589
4.95,9.8992
4.9667,9.9395
4.9833,9.9597
5.0,10.0
5.0167,9.9597
5.0333,9.9395
5.05,9.8992
5.0667,9.8589
5.0833,9.8387
5.1,9.7984
5.1167,9.7581
5.1333,9.7379
5.15,9.6976
5.1667,9.6573
5.1833,9.6371
5.2,9.5968
5.2167,9.5565
5.2333,9.5363
5.25,9.496
5.2667,9.4556
5.2833,9.4355
5.3,9.3952
5.3167,9.3548
5.3333,9.3347
5.35,9.2944
5.3667,9.254
5.3833,9.2339
